id,tahun,source,jenis_bansos,question,answer,length
21,2025,Keputusan Menteri Sosial Republik Indonesia Nomor 26/HUK/2025,DTKS,Dari mana usulan penerima bantuan sosial harus bersumber?,Usulan penerima bantuan sosial harus bersumber dari DTKS.,114
22,2023,Keputusan Direktur Jenderal Pemberdayaan Sosial Nomor 182/5/SK/HK.01/12/2023,PENA,Apa itu asesmen?,"Asesmen adalah proses mendapatkan data tentang minat, kemampuan, potensi, dan kebutuhan usaha KPM.",114
23,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 126/4/HK.01/6/2024,ATENSI,Apa itu anak yatim piatu pada program ATENSI?,"Anak yatim piatu adalah anak yang kehilangan ayah, ibu, atau keduanya.",115
24,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Bagaimana Kemensos menyalurkan dana PKH?,Kemensos menyalurkan dana PKH melalui bank penyalur langsung ke rekening KPM.,117
25,2019,Peraturan Menteri Sosial Nomor 21 Tahun 2019,PBI,Apa itu iuran?,"Iuran adalah sejumlah uang yang dibayarkan secara teratur oleh peserta, pemberi kerja, atau pemerintah.",117
26,2019,Peraturan Menteri Sosial Nomor 21 Tahun 2019,PBI,Apa itu Nomor Induk Kependudukan atau NIK?,NIK adalah nomor identitas unik yang melekat pada setiap penduduk indonesia.,118
27,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Apa itu KK Sejahtera atau KKS?,KKS adalah kartu kombo yang digunakan untuk penyaluran bantuan sosial PKH secara nontunai.,120
28,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 126/4/HK.01/6/2024,ATENSI,Apa itu anak pada program ATENSI?,"Anak adalah seseorang yang berusia di bawah 18 tahun, termasuk yang masih dalam kandungan.",123
29,2012,Peraturan Pemerintah Republik Indonesia Nomor 101 Tahun 2012,PBI,Apa kewajiban BPJS pada program PBI?,BPJS Kesehatan wajib memberikan nomor identitas tunggal kepada peserta yang didaftarkan.,124
30,2024,Keputusan Direktur Jenderal Perlindungan Dan Jaminan Sosial Nomor 8/3/BS.00.01/1/2024,PKH,Apa itu Rekening Pemerintah Lainnya atau RPL?,RPL adalah rekening atas nama Kemensos untuk menampung dan menyalurkan bantuan PKH.,128
31,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Bagaimana masyarakat dapat berpartisipasi dalam pengawasan PKH?,Masyarakat dapat mengawasi pelaksanaan PKH sesuai ketentuan hukum.,129
32,2012,Peraturan Pemerintah Republik Indonesia Nomor 101 Tahun 2012,PBI,Kapan penghapusan kepesertaan program PBI dilakukan?,Penghapusan dilakukan jika peserta meninggal dunia atau memperoleh pekerjaan.,129
33,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 130/4/HK.01/7/2024,PERMAKANAN,Apa itu KPM pada program permakanan lansia?,KPM yang lansia yang tercatat dalam DTKS sebagai penerima program permakanan.,120
34,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 126/4/HK.01/6/2024,ATENSI,Apa itu rekening ganda pada program ATENSI?,Rekening ganda adalah rekening yang nomor rekeningnya dipakai oleh lebih dari satu KPM.,130
35,2011,Undang undang Republik Indonesia Nomor 13 Tahun 2011,DTKS,Apa itu kebutuhan dasar?,"Kebutuhan dasar adalah pangan, sandang, perumahan, kesehatan, pendidikan, pekerjaan, dan pelayanan sosial.",130
36,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Apa itu Pengaduan?,"Pengaduan adalah proses penyampaian informasi, keluhan, atau masalah terkait pelaksanaan program bantuan sosial.",130
37,2025,Keputusan Direktur Jaminan Sosial Nomor 59/3.4/HK.01/1/2025,PKH,Seberapa besar bantuan untuk anak SMA pada program PKH?,Anak sma mendapat Rp2.000.000 setiap tahun atau Rp500.000 setiap tiga bulan.,131
38,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 130/4/HK.01/7/2024,PERMAKANAN,Apa itu Kelompok Masyarakat atau Pokmas?,Pokmas adalah kelompok yang melaksanakan pemberian bantuan permakanan dengan dukungan APBN.,131
39,2019,Peraturan Menteri Sosial Nomor 21 Tahun 2019,PBI,Apa itu bantuan iuran?,Bantuan iuran jaminan kesehatan adalah iuran yang dibayar pemerintah untuk fakir miskin dan orang tidak mampu.,132
40,2024,Keputusan Direktur Jenderal Perlindungan dan Jaminan Sosial Nomor 95/5/SK/HK.01/04/2024,BPNT,Berapa besar bantuan Program Sembako setiap bulannya?,Bantuan program sembako sebesar Rp200.000 per KPM per bulan untuk kebutuhan pangan.,136
41,2024,Keputusan Direktur Jenderal Perlindungan Dan Jaminan Sosial Nomor 8/3/BS.00.01/1/2024,PKH,Kenapa rekening dan KKS ditutup?,"Rekening dan KKS ditutup jika milik KPM PKH yang meninggal, KKS ganda, gagal distribusi, atau bermasalah.",137
42,2023,Keputusan Direktur Jenderal Pemberdayaan Sosial Nomor 182/5/SK/HK.01/12/2023,PENA,Apa itu pendampingan usaha atau monitoring?,Pendampingan usaha adalah fasilitasi pengembangan usaha oleh individu atau lembaga berkompeten.,138
43,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Bagaimana cara KPM menarik dana bantuan PKH?,KPM dapat menarik dana melalui bank penyalur atau agen resmi yang ditunjuk oleh bank penyalur.,138
44,2023,Peraturan Menteri Sosial Republik Indonesia Nomor 4 Tahun 2023,BPNT,Apa itu program sembako?,Program sembako adalah bantuan sosial pangan dalam bentuk tunai atau nontunai untuk KPM yang terdaftar dalam DTKS.,138
45,2012,Peraturan Pemerintah Republik Indonesia Nomor 101 Tahun 2012,PBI,Data terpadu terkait program PBI disampaikan kepada siapa?,Data terpadu disampaikan kepada kementerian kesehatan dan djsn untuk pengelolaan.,139
46,2011,Undang undang Republik Indonesia Nomor 13 Tahun 2011,DTKS,Siapa yang menjadi sasaran penanganan fakir miskin?,"Sasaran penanganan fakir miskin adalah perseorangan, keluarga, kelompok, dan masyarakat.",139
47,2022,Keputusan Direktur Jenderal Perlindungan dan Jaminan Sosial Nomor 60/3/BS.01.02/9/2022,RST,Apa standar rumah sehat dalam Program RST atau RST?,"Rumah sehat adalah rumah yang mendukung kesehatan fisik, mental, dan sosial penghuninya.",139
48,2012,Peraturan Pemerintah Republik Indonesia Nomor 101 Tahun 2012,PBI,Apa peran masyarakat terkait PBI jaminan kesehatan?,Masyarakat berperan memberikan data yang benar dan akurat tentang PBI jaminan kesehatan.,139
49,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 130/4/HK.01/7/2024,PERMAKANAN,Apa itu SIKSMA?,"SIKSMA adalah aplikasi web dan mobile untuk mengelola program permakanan mulai dari persiapan, pengiriman, hingga pelaporan.",139
50,2024,Keputusan Direktur Jenderal Perlindungan Dan Jaminan Sosial Nomor 8/3/BS.00.01/1/2024,PKH,Bagaimana cara penarikan dana PKH oleh KPM?,"KPM PKH dapat menarik dana tunai melalui ATM, kantor cabang, atau agen bank penyalur tanpa biaya.",140
51,2019,Peraturan Menteri Sosial Nomor 21 Tahun 2019,PBI,Siapa yang menetapkan perubahan data PBI Jaminan Kesehatan setiap bulan?,Menteri menetapkan perubahan data PBI jaminan kesehatan setiap bulan.,141
52,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 130/4/HK.01/7/2024,PERMAKANAN,Apa itu lansia Keluarga Tunggal pada program permakanan?,lansia keluarga tunggal adalah lansia yang terdaftar sendiri dalam KK.,126
53,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Apa sumber pendanaan PKH?,"Sumber pendanaan berasal dari APBN, APBD provinsi, APBD kabupaten kota, dan sumber lain yang sah dan tidak mengikat.",141
54,2025,Keputusan Direktur Jaminan Sosial Nomor 59/3.4/HK.01/1/2025,PKH,Apa bantuan yang diterima anak usia dini pada program PKH?,Anak usia dini memperoleh Rp3.000.000 setiap tahun atau Rp750.000 setiap tiga bulan.,142
55,2023,Keputusan Direktur Jenderal Pemberdayaan Sosial Nomor 182/5/SK/HK.01/12/2023,PENA,Apa itu telaah proposal?,Telaah proposal adalah pemeriksaan proposal usaha oleh tim pengkaji untuk memastikan rencana usaha sesuai kondisi KPM.,142
56,2023,Keputusan Direktur Jenderal Pemberdayaan Sosial Nomor 182/5/SK/HK.01/12/2023,PENA,Apa itu bantuan usaha?,"Bantuan usaha adalah bantuan sosial berupa transfer uang untuk pengadaan peralatan, bahan baku, atau perlengkapan usaha.",142
57,2023,Keputusan Direktur Jenderal Pemberdayaan Sosial Nomor 182/5/SK/HK.01/12/2023,PENA,Apa itu upah minimum kabupaten atau kota atau UMK?,UMK adalah upah minimum yang berlaku di suatu daerah dan ditetapkan oleh pemerintah setempat.,143
58,2019,Peraturan Menteri Sosial Nomor 21 Tahun 2019,PBI,Apa itu verifikasi data?,Verifikasi data adalah proses pemeriksaan untuk memastikan data yang dikUMPulkan sesuai prosedur dan fakta di lapangan.,143
59,2025,Keputusan Menteri Sosial Republik Indonesia Nomor 26/HUK/2025,DTKS,Bagaimana cara pengusulan bantuan sosial?,Masyarakat harus terdaftar pada DTKS melalui aplikasi Cekbansos atau mendatangi dinas sosial setempat.,143
60,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 130/4/HK.01/7/2024,PERMAKANAN,Apa itu Pejabat Pembuat Komitmen PPK?,PPK adalah pejabat yang bertanggung jawab melaksanakan pengadaan barang atau jasa untuk bantuan permakanan.,144
61,2023,Keputusan Direktur Jenderal Pemberdayaan Sosial Nomor 182/5/SK/HK.01/12/2023,PENA,Apa tahapan dalam cara pelaksanaan Program PENA?,"Tahapan cara pelaksanaan program pena adalah pra pelaksanaan, pelaksanaan, dan pasca pelaksanaan.",145
62,2025,Keputusan Menteri Sosial Republik Indonesia Nomor 26/HUK/2025,DTKS,Siapa yang dapat mengusulkan DTKS?,"Usulan DTKS berasal dari pemerintah daerah kabupaten kota, Kemensos, dan warga negara indonesia secara mandiri.",145
63,2024,Keputusan Direktur Jenderal Perlindungan Dan Jaminan Sosial Nomor 8/3/BS.00.01/1/2024,PKH,Apa itu pemusnahan KKS?,Pemusnahan KKS adalah penghapusan KKS yang tidak terdistribusi dan KPM sudah tidak layak PKH atau program lain di Kemensos.,146
64,2011,Undang undang Republik Indonesia Nomor 13 Tahun 2011,DTKS,Apa larangan terkait penyalahgunaan dana penanganan fakir miskin?,Setiap orang atau korporasi dilarang menyalahgunakan dana penanganan fakir miskin.,147
65,2019,Peraturan Menteri Sosial Nomor 21 Tahun 2019,PBI,Apa tujuan penghapusan peserta PBI Jaminan Kesehatan?,Tujuan penghapusan peserta PBI jaminan kesehatan adalah memastikan peserta sesuai kriteria PBI.,148
66,2025,Keputusan Menteri Sosial Republik Indonesia Nomor 26/HUK/2025,DTKS,Apakah masyarakat yang sudah mampu dapat bantuan sosial?,Masyarakat yang sudah mampu menurut pemerintah daerah tidak layak mendapatkan bantuan sosial.,149
67,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Kapan pemutakhiran data KPM PKH dilakukan?,Pemutakhiran data dilakukan setiap kali ada perubahan pada sebagian atau seluruh informasi anggota KPM PKH.,149
68,2025,Keputusan Direktur Jaminan Sosial Nomor 59/3.4/HK.01/1/2025,PKH,Bagaimana besaran bantuan bagi ibu hamil dalam program PKH?,Ibu hamil mendapatkan bantuan sebesar Rp3.000.000 per tahun atau Rp750.000 tiap tiga bulan.,150
69,2011,Undang undang Republik Indonesia Nomor 13 Tahun 2011,DTKS,Apa itu pemerintah daerah?,"Pemerintah daerah adalah gubernur, bupati, atau walikota beserta perangkat daerah sebagai penyelenggara pemerintahan daerah.",150
70,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Apa perbedaan kategori transisi dan graduasi KPM?,Transisi KPM mulai mandiri dan masih dipantau. Graduasi KPM sudah mandiri dan tidak perlu bantuan PKH.,151
71,2023,Keputusan Direktur Jenderal Pemberdayaan Sosial Nomor 182/5/SK/HK.01/12/2023,PENA,Apa itu pemberdayaan sosial?,Pemberdayaan sosial adalah upaya untuk membantu warga yang mengalami masalah sosial agar mampu memenuhi kebutuhan dasarnya.,151
72,2012,Peraturan Pemerintah Republik Indonesia Nomor 101 Tahun 2012,PBI,Apa fungsi menteri kesehatan terkait program PBI?,Menteri kesehatan mendaftarkan jumlah nasional PBI ke BPJS Kesehatan sebagai peserta jaminan kesehatan.,152
73,2023,Peraturan Menteri Sosial Republik Indonesia Nomor 7 Tahun 2023,PENA,Apa itu berdikari?,Berdikari adalah kondisi di mana individu atau keluarga mampu memenuhi kebutuhan dasar hidup tanpa bergantung pada bantuan pihak lain.,152
74,2025,Keputusan Direktur Jaminan Sosial Nomor 59/3.4/HK.01/1/2025,PKH,Berapa bantuan yang diterima lansia dalam program PKH?,lansia mendapatkan bantuan sebesar Rp2.400.000 per tahun atau Rp600.000 setiap tiga bulan.,144
75,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Apakah orang di luar DTKS bisa menjadi KPM PKH?,"KPM PKH bisa berasal dari kelompok korban bencana alam, korban bencana sosial, dan komunitas adat terpencil.",155
76,2024,Keputusan Direktur Jenderal Perlindungan Dan Jaminan Sosial Nomor 8/3/BS.00.01/1/2024,PKH,Apa itu Batch OM SPAN?,Batch OM SPAN adalah proses pengusulan data KPM PKH ke bank atau pos penyalur untuk pengecekan status rekening lewat aplikasi SIKSNG.,155
77,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Apa itu Pertemuan Peningkatan?,Pertemuan peningkatan kemampuan keluarga adalah proses belajar terstruktur untuk mempercepat perubahan perilaku pada KPM PKH.,155
78,2025,Keputusan Menteri Sosial Republik Indonesia Nomor 26/HUK/2025,DTKS,Seberapa sering musyawarah desa atau kelurahan dilaksanakan untuk usulan DTKS?,Musyawarah desa atau kelurahan dilaksanakan minimal satu kali dalam tiga bulan.,157
79,2025,Keputusan Direktur Jaminan Sosial Nomor 59/3.4/HK.01/1/2025,PKH,Berapa jumlah bantuan yang diberikan kepada anak SMP dalam PKH?,Anak smp mendapatkan bantuan sebesar Rp1.500.000 setiap tahun atau Rp375.000 setiap tiga bulan.,158
80,2023,Keputusan Direktur Jenderal Pemberdayaan Sosial Nomor 182/5/SK/HK.01/12/2023,PENA,Apa itu jiwa kewirausahaan?,"Jiwa kewirausahaan adalah semangat dan motivasi untuk berwirausaha, meliputi motif, sikap, perilaku, pengetahuan, dan keterampilan.",158
81,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 130/4/HK.01/7/2024,PERMAKANAN,Apa itu pengurus KPM?,Pengurus KPM adalah individu yang ditetapkan sebagai wakil atau wali KPM untuk penyaluran bantuan permakanan bagi penyandang disabilitas.,158
82,2025,,PBI,Apa syarat penerima program PBI?,"Penerima harus fakir miskin, orang tidak mampu, WNI, memiliki NIK yang terdaftar pada data Dukcapil, dan terdaftar dalam DTKS.",158
83,2022,Keputusan Direktur Jenderal Perlindungan dan Jaminan Sosial Nomor 60/3/BS.01.02/9/2022,RST,Apa kewajiban penerima bantuan dalam Program RST?,Penerima bantuan wajib berpartisipasi aktif. Tugas dan tanggung jawab berbeda untuk kelompok dan perseorangan.,159
84,2025,Keputusan Direktur Jaminan Sosial Nomor 59/3.4/HK.01/1/2025,PKH,Apa bantuan yang diberikan kepada anak SD dalam program PKH,Anak sd atau sederajat mendapat bantuan sebesar Rp900.000 per tahun atau Rp225.000 setiap tiga bulan.,160
85,2025,Keputusan Menteri Sosial Republik Indonesia Nomor 26/HUK/2025,DTKS,Bagaimana cara melengkapi informasi tambahan di SIKSNG pada DTKS?,"Pemerintah daerah melengkapi informasi tambahan di SIKSNG melalui menu DTKS, sub menu view DTKS.",161
86,2012,Peraturan Pemerintah Republik Indonesia Nomor 101 Tahun 2012,PBI,Apa itu orang tidak mampu?,Orang tidak mampu adalah mereka yang penghasilannya hanya cukup untuk kebutuhan dasar dan tidak mampu membayar iuran jaminan kesehatan.,161
87,2025,Keputusan Menteri Sosial Republik Indonesia Nomor 26/HUK/2025,DTKS,"Apakah ASN, TNI, Polri, atau keluarga mereka layak mendapatkan bantuan sosial?","Asn, TNI, Polri, pensiunan, dan keluarga mereka tidak layak menerima bantuan sosial.",162
88,2011,Undang undang Republik Indonesia Nomor 13 Tahun 2011,DTKS,Apa tanggung jawab pemerintah dan pemerintah daerah terkait pelayanan perumahan?,Pemerintah dan pemerintah daerah bertanggung jawab menyediakan pelayanan perumahan.,163
89,2011,Undang undang Republik Indonesia Nomor 13 Tahun 2011,DTKS,Apa asas penanganan fakir miskin?,"Penanganan fakir miskin berasaskan kemanusiaan, keadilan sosial, nondiskriminasi, kesejahteraan, kesetiakawanan, dan pemberdayaan.",163
90,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Apakah Bank Penyalur boleh mengenakan biaya tambahan saat menyalurkan dana PKH?,Bank penyalur tidak boleh mengenakan biaya tambahan dalam proses penyaluran dana PKH.,164
91,2023,Keputusan Direktur Jenderal Pemberdayaan Sosial Nomor 182/5/SK/HK.01/12/2023,PENA,Apa yang termasuk cara tahap pasca pelaksanaan Program PENA?,"Tahap pasca pelaksanaan meliputi keberlanjutan usaha, fasilitasi rujukan, dan terminasi atau pengalihan.",164
92,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 130/4/HK.01/7/2024,PERMAKANAN,Apa itu Pelaksana Bantuan Permakanan?,Pelaksana bantuan permakanan adalah kelompok masyarakat yang mengelola kegiatan bantuan permakanan bagi penyandang disabilitas.,164
93,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 130/4/HK.01/7/2024,PERMAKANAN,Apa itu pendamping sosial?,Pendamping sosial adalah tenaga kesejahteraan sosial Kemensos yang mendampingi pelaksanaan bantuan permakanan bagi penyandang disabilitas.,164
94,2019,Peraturan Menteri Sosial Nomor 21 Tahun 2019,PBI,Apa yang terjadi jika calon peserta PBI Jaminan Kesehatan sudah ada dalam DTKS?,Calon PBI yang sudah ada dalam data terpadu dapat didaftarkan pada periode berikutnya.,165
95,2021,Peraturan Menteri Sosial Republik Indonesia Nomor 3 Tahun 2021,DTKS,Apa yang harus dicantumkan dalam permohonan penggunaan DTKS?,"Permohonan penggunaan DTKS harus memuat maksud penggunaan data, dan melampirkan jenis data yang dibutuhkan.",167
96,2025,Keputusan Menteri Sosial Republik Indonesia Nomor 26/HUK/2025,DTKS,Apa periode yang terlibat dalam penetapan PBI jaminan kesehatan?,Periode dalam penetapan PBI jaminan kesehatan terdiri atas penyampaian usulan dan verifikasi kelayakan.,167
97,2025,,DTKS,Siapa yang melakukan survey lapangan untuk menentukan kelayakan bantuan sosial?,"Survey dilakukan oleh sdm kesos. Jika masih layak, bantuan sosial bisa diusulkan kembali.",168
98,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 130/4/HK.01/7/2024,PERMAKANAN,Apa itu PT Pos Indonesia?,Pt pos indonesia adalah badan usaha milik negara yang menyediakan jasa pos dan giro di dalam dan luar negeri sesuai prinsip perseroan terbatas.,168
99,2025,Keputusan Menteri Sosial Republik Indonesia Nomor 26/HUK/2025,DTKS,Apakah guru tersertifikasi dari Kementerian Pendidikan layak mendapat bantuan sosial?,Guru tersertifikasi dari kementerian pendidikan tidak layak mendapat bantuan sosial.,169
100,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 30/4/HK.01/2/2024,PERMAKANAN,Apa itu Human Immunodeficiency ViRUS atau HIV?,HIV adalah virus yang menyerang sistem kekebalan tubuh dan dapat menyebabkan acquired immuno deficiency syndrome atau aids.,169
101,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Apa itu Bantuan Sosial?,"Bantuan sosial adalah bantuan berupa uang, barang, dan jasa kepada keluarga atau individu miskin, tidak mampu, atau rentan terhadap risiko sosial.",169
102,2012,Peraturan Pemerintah Republik Indonesia Nomor 101 Tahun 2012,PBI,Bagaimana kepesertaan program PBI bagi penduduk yang bukan fakir miskin?,Penduduk bukan fakir miskin wajib menjadi peserta jaminan kesehatan dengan membayar iuran mandiri.,170
103,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Apa peran tenaga ahli dalam PKH?,"Tenaga ahli bertanggung jawab dalam perencanaan, pelaksanaan, dan evaluasi program PKH untuk memastikan program berjalan sesuai ketentuan.",170
104,2023,Peraturan Menteri Sosial Republik Indonesia Nomor 7 Tahun 2023,PENA,"Bagaimana bantuan dalam Program PENA diberikan, dan apa dasar utama penentuan bantuan untuk KPM?",Bantuan program pena diberikan sesuai proposal yang disetujui tim pengkaji.,171
105,2011,Undang undang Republik Indonesia Nomor 13 Tahun 2011,DTKS,Apa kewajiban pemerintah dan pemerintah daerah terkait bantuan pangan dan sandang?,Pemerintah dan pemerintah daerah wajib menyediakan bantuan pangan dan sandang yang layak.,171
106,2023,Keputusan Direktur Jenderal Pemberdayaan Sosial Nomor 182/5/SK/HK.01/12/2023,PENA,Apa itu kewirausahaan sosial?,Kewirausahaan sosial adalah pendekatan bisnis yang memberikan dampak positif ekonomi dan sosial pada masyarakat kelas bawah dan terpinggirkan.,171
107,2019,Peraturan Menteri Sosial Nomor 21 Tahun 2019,PBI,Apa syarat menjadi peserta PBI Jaminan Kesehatan?,"Peserta harus warga negara indonesia, memiliki NIK terdaftar di direktorat jenderal kependudukan, dan tercatat dalam DTKS.",171
108,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 130/4/HK.01/7/2024,PERMAKANAN,Apa komponen utama biaya dalam kegiatan pemberian Bantuan Permakanan?,"Komponen biaya bantuan permakanan meliputi penyediaan makanan, biaya operasional, dan biaya pengiriman.",172
109,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Apa tujuan dari tahap perencanaan dalam PKH?,Tahap perencanaan PKH bertujuan menentukan lokasi dan jumlah calon KPM berdasarkan data terpadu program penanganan fakir miskin.,172
110,2024,Keputusan Direktur Jenderal Rehabilitasi Sosial Nomor 126/4/HK.01/6/2024,ATENSI,Apa itu Unit Pelaksana Teknis atau UPT pada program ATENSI?,Upt adalah unit di bidang rehabilitasi sosial yang bertanggung jawab kepada direktur jenderal rehabilitasi sosial.,173
111,2019,Peraturan Menteri Sosial Nomor 21 Tahun 2019,PBI,Apa itu jaminan kesehatan?,Jaminan kesehatan adalah perlindungan agar peserta mendapat manfaat pemeliharaan kesehatan setelah membayar iuran atau iurannya dibayar pemerintah.,173
112,2024,Keputusan Direktur Jenderal Perlindungan dan Jaminan Sosial Nomor 95/5/SK/HK.01/04/2024,BPNT,Apa itu stock opname KKS?,Stock opname KKS adalah kegiatan untuk memastikan jumlah KKS yang belum terdistribusi kepada KPM program sembako sesuai dengan catatan bank penyalur.,174
113,2024,Keputusan Direktur Jenderal Perlindungan Dan Jaminan Sosial Nomor 8/3/BS.00.01/1/2024,DTKS,Apakah individu dengan penghasilan dari APBN atau APBD layak menerima bantuan sosial?,Individu dengan penghasilan rutin dari APBN atau APBD tidak layak menerima bantuan sosial.,175
114,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Apa tujuan pemutakhiran sosial ekonomi KPM?,Pemutakhiran sosial ekonomi adalah pendataan ulang dan evaluasi status ekonomi KPM untuk menentukan kategori transisi atau graduasi.,175
115,2018,Peraturan Menteri Sosial Republik Indonesia Nomor 1 Tahun 2018,PKH,Apa yang dimaksud dengan graduasi hasil pemutakhiran sosial ekonomi dan dukungan setelahnya?,Graduasi alamiah adalah berakhirnya kepesertaan karena tidak lagi memenuhi kriteria.,176
